縣市,年度,可支配所得,臺灣地區可支配所得,對數成長率,全國對數成長率,相對成長率,相對成長率百分點,縣市首長黨籍,縣市首長黨籍代碼
澎湖縣,2006,705881,913092,0.1162713530083117,0.020489014913620096,0.09578233809469161,9.578233809469161,民主進步黨,DPP
澎湖縣,2007,644462,923874,-0.09103080783885531,0.011739056485431831,-0.10276986432428714,-10.276986432428714,民主進步黨,DPP
澎湖縣,2008,732450,913687,0.1279792189692177,-0.011087636668321466,0.13906685563753918,13.906685563753918,民主進步黨,DPP
澎湖縣,2009,689166,887605,-0.060912908298385915,-0.028961237827966002,-0.03195167047041991,-3.1951670470419913,民主進步黨,DPP
澎湖縣,2010,827323,889353,0.1827130162135706,0.001967407855257619,0.180745608358313,18.0745608358313,民主進步黨,DPP
澎湖縣,2011,673081,907988,-0.20632950807632788,0.02073693058900794,-0.22706643866533582,-22.706643866533582,民主進步黨,DPP
澎湖縣,2012,727056,923584,0.0771378244381431,0.01703059115868122,0.06010723327946188,6.010723327946188,民主進步黨,DPP
澎湖縣,2013,769955,942208,0.05732856812873344,0.01996430318257225,0.037364264946161185,3.7364264946161185,民主進步黨,DPP
澎湖縣,2014,771376,956849,0.0018438614452005453,0.015419537263454686,-0.01357567581825414,-1.357567581825414,民主進步黨,DPP
澎湖縣,2015,673239,964895,-0.13607554012425638,0.008373692869138694,-0.14444923299339507,-14.444923299339507,民主進步黨,DPP
澎湖縣,2016,896505,993115,0.2864034773720192,0.02882718088557823,0.257576296486441,25.757629648644098,民主進步黨,DPP
澎湖縣,2017,724107,1018941,-0.21356469875338568,0.0256726636302389,-0.23923736238362459,-23.92373623836246,民主進步黨,DPP
澎湖縣,2018,792436,1036304,0.09017257387152355,0.0168966844242604,0.07327588944726315,7.327588944726315,民主進步黨,DPP
澎湖縣,2019,867725,1059731,0.09076309879309186,0.022354565246384794,0.06840853354670706,6.840853354670706,中國國民黨,KMT
澎湖縣,2020,919475,1079648,0.057928010799544793,0.01861995975169961,0.03930805104784518,3.9308051047845183,中國國民黨,KMT
澎湖縣,2021,676810,1090554,-0.3064122713886803,0.010050761918202866,-0.3164630333068832,-31.64630333068832,中國國民黨,KMT
澎湖縣,2022,767244,1108569,0.12541428973584523,0.01638417041275808,0.10903011932308715,10.903011932308715,中國國民黨,KMT
澎湖縣,2023,900915,1136708,0.16060604020301916,0.025066371186772685,0.13553966901624648,13.553966901624648,民主進步黨,DPP
澎湖縣,2024,792956,1165206,-0.1276431789380723,0.024761529817933337,-0.15240470875600565,-15.240470875600565,民主進步黨,DPP
臺中市,1999,925933,889053,0.03789307540431608,0.01802085734396286,0.01987221806035322,1.987221806035322,民主進步黨,DPP
臺中市,2000,855399,891445,-0.0792338510684214,0.002686890340863002,-0.0819207414092844,-8.19207414092844,民主進步黨,DPP
臺中市,2001,866609,868651,0.013019867917741124,-0.025902308074623903,0.03892217599236503,3.8922175992365027,民主進步黨,DPP
臺中市,2002,843776,875919,-0.026700838139356975,0.008332187356849374,-0.03503302549620635,-3.503302549620635,中國國民黨,KMT
臺中市,2003,856510,881662,0.014978936592465075,0.00653514169686531,0.008443794895599765,0.8443794895599765,中國國民黨,KMT
臺中市,2004,820520,891249,-0.04292770750531538,0.010815087103630106,-0.05374279460894549,-5.374279460894549,中國國民黨,KMT
臺中市,2005,829541,894574,0.010934250160953951,0.003723777599661915,0.007210472561292036,0.7210472561292036,中國國民黨,KMT
臺中市,2006,881886,913092,0.061190260177498956,0.020489014913620096,0.04070124526387886,4.070124526387886,中國國民黨,KMT
臺中市,2007,930676,923874,0.05384840786477163,0.011739056485431831,0.0421093513793398,4.21093513793398,中國國民黨,KMT
臺中市,2008,861977,913687,-0.07668261564401391,-0.011087636668321466,-0.06559497897569244,-6.559497897569244,中國國民黨,KMT
臺中市,2009,814673,887605,-0.056441782439236476,-0.028961237827966002,-0.027480544611270474,-2.7480544611270474,中國國民黨,KMT
臺中市,2010,823848,889353,0.01119924114019355,0.001967407855257619,0.00923183328493593,0.9231833284935931,中國國民黨,KMT
臺中市,2011,915341,907988,0.10531062656999879,0.02073693058900794,0.08457369598099085,8.457369598099085,中國國民黨,KMT
臺中市,2012,886682,923584,-0.03181026725291147,0.01703059115868122,-0.04884085841159269,-4.884085841159269,中國國民黨,KMT
臺中市,2013,928938,942208,0.046555591967120336,0.01996430318257225,0.026591288784548084,2.6591288784548084,中國國民黨,KMT
臺中市,2014,955599,956849,0.028296370829838935,0.015419537263454686,0.01287683356638425,1.287683356638425,中國國民黨,KMT
臺中市,2015,970157,964895,0.01511954508216462,0.008373692869138694,0.006745852213025927,0.6745852213025927,民主進步黨,DPP
臺中市,2016,949050,993115,-0.021996429809313156,0.02882718088557823,-0.050823610694891386,-5.082361069489139,民主進步黨,DPP
臺中市,2017,1033169,1018941,0.08492457263909081,0.0256726636302389,0.05925190900885191,5.925190900885191,民主進步黨,DPP
臺中市,2018,1065509,1036304,0.03082184134152577,0.0168966844242604,0.013925156917265369,1.3925156917265369,民主進步黨,DPP
臺中市,2019,1082584,1059731,0.015898156776870564,0.022354565246384794,-0.00645640846951423,-0.645640846951423,中國國民黨,KMT
臺中市,2020,1082645,1079648,5.63450794484055e-05,0.01861995975169961,-0.018563614672251205,-1.8563614672251205,中國國民黨,KMT
臺中市,2021,1084908,1090554,0.002088069654796243,0.010050761918202866,-0.007962692263406623,-0.7962692263406623,中國國民黨,KMT
臺中市,2022,1102924,1108569,0.0164696441350074,0.01638417041275808,8.547372224931848e-05,0.008547372224931848,中國國民黨,KMT
臺中市,2023,1117013,1136708,0.012693323430655212,0.025066371186772685,-0.012373047756117472,-1.2373047756117472,中國國民黨,KMT
臺中市,2024,1171877,1165206,0.0479485785055882,0.024761529817933337,0.023187048687654865,2.3187048687654865,中國國民黨,KMT
臺北市,1999,1208578,889053,0.010343920344084268,0.01802085734396286,-0.007676936999878592,-0.7676936999878592,中國國民黨,KMT
臺北市,2000,1237777,891445,0.023872566896191216,0.002686890340863002,0.021185676555328214,2.1185676555328214,中國國民黨,KMT
臺北市,2001,1217932,868651,-0.016162690295521642,-0.025902308074623903,0.009739617779102261,0.9739617779102261,中國國民黨,KMT
臺北市,2002,1232387,875919,0.01179860066058147,0.008332187356849374,0.0034664133037320966,0.34664133037320966,中國國民黨,KMT
臺北市,2003,1232396,881662,7.302874125869607e-06,0.00653514169686531,-0.00652783882273944,-0.652783882273944,中國國民黨,KMT
臺北市,2004,1225096,891249,-0.005941033762590919,0.010815087103630106,-0.016756120866221025,-1.6756120866221025,中國國民黨,KMT
臺北市,2005,1236014,894574,0.008872477559123126,0.003723777599661915,0.0051486999594612115,0.5148699959461212,中國國民黨,KMT
臺北市,2006,1262406,913092,0.021127738117696637,0.020489014913620096,0.0006387232040765412,0.06387232040765412,中國國民黨,KMT
臺北市,2007,1287803,923874,0.019918241723622998,0.011739056485431831,0.008179185238191167,0.8179185238191167,中國國民黨,KMT
臺北市,2008,1271060,913687,-0.0130864676567235,-0.011087636668321466,-0.001998830988402034,-0.1998830988402034,中國國民黨,KMT
臺北市,2009,1246310,887605,-0.019664012448483703,-0.028961237827966002,0.009297225379482299,0.9297225379482299,中國國民黨,KMT
臺北市,2010,1298640,889353,0.04113037745214854,0.001967407855257619,0.03916296959689092,3.9162969596890918,中國國民黨,KMT
臺北市,2011,1251519,907988,-0.03695954946414126,0.02073693058900794,-0.0576964800531492,-5.76964800531492,中國國民黨,KMT
臺北市,2012,1278278,923584,0.02115584612992194,0.01703059115868122,0.004125254971240722,0.41252549712407216,中國國民黨,KMT
臺北市,2013,1279195,942208,0.0007171141508024448,0.01996430318257225,-0.019247189031769807,-1.9247189031769807,中國國民黨,KMT
臺北市,2014,1292604,956849,0.01042781454297348,0.015419537263454686,-0.0049917227204812065,-0.49917227204812065,中國國民黨,KMT
臺北市,2015,1314031,964895,0.016440723489356657,0.008373692869138694,0.008067030620217963,0.8067030620217963,無黨籍,IND
臺北市,2016,1320834,993115,0.005163843397657075,0.02882718088557823,-0.023663337487921154,-2.3663337487921154,無黨籍,IND
臺北市,2017,1344538,1018941,0.017787104355264205,0.0256726636302389,-0.007885559274974696,-0.7885559274974696,無黨籍,IND
臺北市,2018,1379305,1036304,0.025529289497667307,0.0168966844242604,0.008632605073406907,0.8632605073406907,無黨籍,IND
臺北市,2019,1422400,1059731,0.030765836657549173,0.022354565246384794,0.008411271411164378,0.8411271411164378,無黨籍,IND
臺北市,2020,1422856,1079648,0.0003205335505160889,0.01861995975169961,-0.018299426201183522,-1.8299426201183522,無黨籍,IND
臺北市,2021,1430572,1090554,0.0054082449651229325,0.010050761918202866,-0.004642516953079934,-0.4642516953079934,無黨籍,IND
臺北市,2022,1444264,1108569,0.009525484951714347,0.01638417041275808,-0.006858685461043734,-0.6858685461043734,無黨籍,IND
臺北市,2023,1448219,1136708,0.002734676376507039,0.025066371186772685,-0.022331694810265645,-2.2331694810265645,中國國民黨,KMT
臺北市,2024,1485461,1165206,0.025390636167919922,0.024761529817933337,0.0006291063499865857,0.06291063499865857,中國國民黨,KMT
臺南市,1999,736363,889053,-0.010851291004371433,0.01802085734396286,-0.028872148348334292,-2.8872148348334292,民主進步黨,DPP
臺南市,2000,763523,891445,0.036220044967681275,0.002686890340863002,0.03353315462681827,3.3533154626818273,民主進步黨,DPP
臺南市,2001,717591,868651,-0.06204347977201863,-0.025902308074623903,-0.036141171697394725,-3.6141171697394725,民主進步黨,DPP
臺南市,2002,746442,875919,0.03941814918657727,0.008332187356849374,0.031085961829727893,3.1085961829727893,民主進步黨,DPP
臺南市,2003,786875,881662,0.052751486752116605,0.00653514169686531,0.046216345055251296,4.6216345055251296,民主進步黨,DPP
臺南市,2004,787897,891249,0.001297965855986405,0.010815087103630106,-0.0095171212476437,-0.9517121247643701,民主進步黨,DPP
臺南市,2005,737099,894574,-0.0666451591282975,0.003723777599661915,-0.07036893672795941,-7.036893672795941,民主進步黨,DPP
臺南市,2006,791254,913092,0.07089681721156715,0.020489014913620096,0.05040780229794706,5.040780229794706,民主進步黨,DPP
臺南市,2007,815882,923874,0.03065070792638025,0.011739056485431831,0.018911651440948418,1.8911651440948418,民主進步黨,DPP
臺南市,2008,810038,913687,-0.007188576517924261,-0.011087636668321466,0.0038990601503972044,0.38990601503972044,民主進步黨,DPP
臺南市,2009,770804,887605,-0.04964703420598049,-0.028961237827966002,-0.020685796378014487,-2.0685796378014487,民主進步黨,DPP
臺南市,2010,740706,889353,-0.03983034050838263,0.001967407855257619,-0.04179774836364025,-4.179774836364025,民主進步黨,DPP
臺南市,2011,783223,907988,0.05581367205386201,0.02073693058900794,0.035076741464854067,3.5076741464854067,民主進步黨,DPP
臺南市,2012,770078,923584,-0.01692564906716143,0.01703059115868122,-0.03395624022584265,-3.395624022584265,民主進步黨,DPP
臺南市,2013,830467,942208,0.07549638474589138,0.01996430318257225,0.055532081563319124,5.5532081563319124,民主進步黨,DPP
臺南市,2014,829957,956849,-0.0006143009448642545,0.015419537263454686,-0.01603383820831894,-1.603383820831894,民主進步黨,DPP
臺南市,2015,837530,964895,0.00908319173350236,0.008373692869138694,0.0007094988643636668,0.07094988643636668,民主進步黨,DPP
臺南市,2016,884524,993115,0.054592563252526816,0.02882718088557823,0.025765382366948586,2.5765382366948586,民主進步黨,DPP
臺南市,2017,902536,1018941,0.020158931402441738,0.0256726636302389,-0.005513732227797163,-0.5513732227797163,民主進步黨,DPP
臺南市,2018,898912,1036304,-0.004023435468338832,0.0168966844242604,-0.02092011989259923,-2.092011989259923,民主進步黨,DPP
臺南市,2019,904114,1059731,0.005770315496329559,0.022354565246384794,-0.016584249750055235,-1.6584249750055235,民主進步黨,DPP
臺南市,2020,904141,1079648,2.9863044760602975e-05,0.01861995975169961,-0.018590096706939008,-1.8590096706939008,民主進步黨,DPP
臺南市,2021,924875,1090554,0.022673271564805475,0.010050761918202866,0.012622509646602609,1.2622509646602609,民主進步黨,DPP
臺南市,2022,941880,1108569,0.018219284681007863,0.01638417041275808,0.0018351142682497823,0.18351142682497823,民主進步黨,DPP
臺南市,2023,971186,1136708,0.03064012711810271,0.025066371186772685,0.005573755931330027,0.5573755931330027,民主進步黨,DPP
臺南市,2024,1009768,1165206,0.038957875434414646,0.024761529817933337,0.01419634561648131,1.419634561648131,民主進步黨,DPP
臺東縣,1999,574406,889053,0.02145568171320633,0.01802085734396286,0.003434824369243472,0.3434824369243472,中國國民黨,KMT
臺東縣,2000,641298,891445,0.11015778412283339,0.002686890340863002,0.10747089378197039,10.747089378197039,中國國民黨,KMT
臺東縣,2001,627005,868651,-0.02253973240195961,-0.025902308074623903,0.003362575672664292,0.3362575672664292,中國國民黨,KMT
臺東縣,2002,651312,875919,0.038034274988923755,0.008332187356849374,0.02970208763207438,2.970208763207438,中國國民黨,KMT
臺東縣,2003,619787,881662,-0.04961291944593249,0.00653514169686531,-0.0561480611427978,-5.61480611427978,中國國民黨,KMT
臺東縣,2004,631719,891249,0.019068804395026007,0.010815087103630106,0.008253717291395901,0.8253717291395901,中國國民黨,KMT
臺東縣,2005,597433,894574,-0.055802531393823074,0.003723777599661915,-0.05952630899348499,-5.952630899348499,中國國民黨,KMT
臺東縣,2006,624932,913092,0.04500070019027547,0.020489014913620096,0.02451168527665537,2.451168527665537,中國國民黨,KMT
臺東縣,2007,720459,923874,0.14224566507604308,0.011739056485431831,0.13050660859061125,13.050660859061125,中國國民黨,KMT
臺東縣,2008,586479,913687,-0.2057516470673999,-0.011087636668321466,-0.19466401039907844,-19.466401039907844,中國國民黨,KMT
臺東縣,2009,667547,887605,0.12947293795471992,-0.028961237827966002,0.15843417578268593,15.843417578268593,中國國民黨,KMT
臺東縣,2010,568409,889353,-0.16076856976325082,0.001967407855257619,-0.16273597761850844,-16.273597761850844,中國國民黨,KMT
臺東縣,2011,607872,907988,0.06712310346923722,0.02073693058900794,0.04638617288022928,4.638617288022928,中國國民黨,KMT
臺東縣,2012,670017,923584,0.09733875171084527,0.01703059115868122,0.08030816055216405,8.030816055216405,中國國民黨,KMT
臺東縣,2013,676390,942208,0.009466747566301947,0.01996430318257225,-0.010497555616270304,-1.0497555616270304,中國國民黨,KMT
臺東縣,2014,697540,956849,0.03079002695770683,0.015419537263454686,0.015370489694252143,1.5370489694252143,中國國民黨,KMT
臺東縣,2015,636162,964895,-0.09210661183506375,0.008373692869138694,-0.10048030470420244,-10.048030470420244,中國國民黨,KMT
臺東縣,2016,674647,993115,0.058736343230350485,0.02882718088557823,0.029909162344772255,2.9909162344772255,中國國民黨,KMT
臺東縣,2017,752275,1018941,0.10891235747362238,0.0256726636302389,0.08323969384338348,8.323969384338348,中國國民黨,KMT
