county,year,local_party,central_party,aligned,party_alternation,consecutive_years,dpp_dummy,kmt_dummy
新北市,1997,DPP,KMT,0,0,8,1,0
新北市,1998,DPP,KMT,0,0,9,1,0
新北市,1999,DPP,KMT,0,0,10,1,0
新北市,2000,DPP,DPP,1,0,11,1,0
新北市,2001,DPP,DPP,1,0,12,1,0
新北市,2002,DPP,DPP,1,0,13,1,0
新北市,2003,DPP,DPP,1,0,14,1,0
新北市,2004,DPP,DPP,1,0,15,1,0
新北市,2005,KMT,DPP,0,1,1,0,1
新北市,2006,KMT,DPP,0,1,2,0,1
新北市,2007,KMT,DPP,0,1,3,0,1
新北市,2008,KMT,KMT,1,1,4,0,1
新北市,2009,KMT,KMT,1,0,5,0,1
新北市,2010,KMT,KMT,1,0,6,0,1
新北市,2011,KMT,KMT,1,0,7,0,1
新北市,2012,KMT,KMT,1,0,8,0,1
新北市,2013,KMT,KMT,1,0,9,0,1
新北市,2014,KMT,KMT,1,0,10,0,1
新北市,2015,KMT,KMT,1,0,11,0,1
新北市,2016,KMT,DPP,0,0,12,0,1
新北市,2017,KMT,DPP,0,0,13,0,1
新北市,2018,KMT,DPP,0,0,14,0,1
新北市,2019,KMT,DPP,0,0,15,0,1
新北市,2020,KMT,DPP,0,0,16,0,1
新北市,2021,KMT,DPP,0,0,17,0,1
新北市,2022,KMT,DPP,0,0,18,0,1
新北市,2023,KMT,DPP,0,0,19,0,1
新北市,2024,KMT,DPP,0,0,20,0,1
新竹市,1990,KMT,KMT,1,0,1,0,1
新竹市,1991,KMT,KMT,1,0,2,0,1
新竹市,1992,KMT,KMT,1,0,3,0,1
新竹市,1993,KMT,KMT,1,0,4,0,1
新竹市,1994,KMT,KMT,1,0,5,0,1
新竹市,1995,KMT,KMT,1,0,6,0,1
新竹市,1996,KMT,KMT,1,0,7,0,1
新竹市,1997,DPP,KMT,0,1,1,1,0
新竹市,1998,DPP,KMT,0,1,2,1,0
新竹市,1999,DPP,KMT,0,1,3,1,0
新竹市,2000,DPP,DPP,1,1,4,1,0
新竹市,2001,KMT,DPP,0,1,1,0,1
新竹市,2002,KMT,DPP,0,1,2,0,1
新竹市,2003,KMT,DPP,0,1,3,0,1
新竹市,2004,KMT,DPP,0,1,4,0,1
新竹市,2005,KMT,DPP,0,0,5,0,1
新竹市,2006,KMT,DPP,0,0,6,0,1
新竹市,2007,KMT,DPP,0,0,7,0,1
新竹市,2008,KMT,KMT,1,0,8,0,1
新竹市,2009,KMT,KMT,1,0,9,0,1
新竹市,2010,KMT,KMT,1,0,10,0,1
新竹市,2011,KMT,KMT,1,0,11,0,1
新竹市,2012,KMT,KMT,1,0,12,0,1
新竹市,2013,KMT,KMT,1,0,13,0,1
新竹市,2014,DPP,KMT,0,1,1,1,0
新竹市,2015,DPP,KMT,0,1,2,1,0
新竹市,2016,DPP,DPP,1,1,3,1,0
新竹市,2017,DPP,DPP,1,1,4,1,0
新竹市,2018,DPP,DPP,1,0,5,1,0
新竹市,2019,DPP,DPP,1,0,6,1,0
新竹市,2020,DPP,DPP,1,0,7,1,0
新竹市,2021,DPP,DPP,1,0,8,1,0
新竹市,2022,TPP,DPP,0,1,1,0,0
新竹市,2023,TPP,DPP,0,1,2,0,0
新竹市,2024,TPP,DPP,0,1,3,0,0
新竹縣,1990,DPP,KMT,0,0,1,1,0
新竹縣,1991,DPP,KMT,0,0,2,1,0
新竹縣,1992,DPP,KMT,0,0,3,1,0
新竹縣,1993,DPP,KMT,0,0,4,1,0
新竹縣,1994,DPP,KMT,0,0,5,1,0
新竹縣,1995,DPP,KMT,0,0,6,1,0
新竹縣,1996,DPP,KMT,0,0,7,1,0
新竹縣,1997,DPP,KMT,0,0,8,1,0
新竹縣,1998,DPP,KMT,0,0,9,1,0
新竹縣,1999,DPP,KMT,0,0,10,1,0
新竹縣,2000,DPP,DPP,1,0,11,1,0
新竹縣,2001,KMT,DPP,0,1,1,0,1
新竹縣,2002,KMT,DPP,0,1,2,0,1
新竹縣,2003,KMT,DPP,0,1,3,0,1
新竹縣,2004,KMT,DPP,0,1,4,0,1
新竹縣,2005,KMT,DPP,0,0,5,0,1
新竹縣,2006,KMT,DPP,0,0,6,0,1
新竹縣,2007,KMT,DPP,0,0,7,0,1
新竹縣,2008,KMT,KMT,1,0,8,0,1
新竹縣,2009,KMT,KMT,1,0,9,0,1
新竹縣,2010,KMT,KMT,1,0,10,0,1
新竹縣,2011,KMT,KMT,1,0,11,0,1
新竹縣,2012,KMT,KMT,1,0,12,0,1
新竹縣,2013,KMT,KMT,1,0,13,0,1
新竹縣,2014,KMT,KMT,1,0,14,0,1
新竹縣,2015,KMT,KMT,1,0,15,0,1
新竹縣,2016,KMT,DPP,0,0,16,0,1
新竹縣,2017,KMT,DPP,0,0,17,0,1
新竹縣,2018,KMT,DPP,0,0,18,0,1
新竹縣,2019,KMT,DPP,0,0,19,0,1
新竹縣,2020,KMT,DPP,0,0,20,0,1
新竹縣,2021,KMT,DPP,0,0,21,0,1
新竹縣,2022,KMT,DPP,0,0,22,0,1
新竹縣,2023,KMT,DPP,0,0,23,0,1
新竹縣,2024,KMT,DPP,0,0,24,0,1
桃園市,1990,KMT,KMT,1,0,1,0,1
桃園市,1991,KMT,KMT,1,0,2,0,1
桃園市,1992,KMT,KMT,1,0,3,0,1
桃園市,1993,KMT,KMT,1,0,4,0,1
桃園市,1994,KMT,KMT,1,0,5,0,1
桃園市,1995,KMT,KMT,1,0,6,0,1
桃園市,1996,KMT,KMT,1,0,7,0,1
桃園市,1997,DPP,KMT,0,1,1,1,0
桃園市,1998,DPP,KMT,0,1,2,1,0
桃園市,1999,DPP,KMT,0,1,3,1,0
桃園市,2000,DPP,DPP,1,1,4,1,0
桃園市,2001,KMT,DPP,0,1,1,0,1
桃園市,2002,KMT,DPP,0,1,2,0,1
桃園市,2003,KMT,DPP,0,1,3,0,1
桃園市,2004,KMT,DPP,0,1,4,0,1
桃園市,2005,KMT,DPP,0,0,5,0,1
桃園市,2006,KMT,DPP,0,0,6,0,1
桃園市,2007,KMT,DPP,0,0,7,0,1
桃園市,2008,KMT,KMT,1,0,8,0,1
桃園市,2009,KMT,KMT,1,0,9,0,1
桃園市,2010,KMT,KMT,1,0,10,0,1
桃園市,2011,KMT,KMT,1,0,11,0,1
桃園市,2012,KMT,KMT,1,0,12,0,1
桃園市,2013,KMT,KMT,1,0,13,0,1
桃園市,2014,DPP,KMT,0,1,1,1,0
桃園市,2015,DPP,KMT,0,1,2,1,0
桃園市,2016,DPP,DPP,1,1,3,1,0
桃園市,2017,DPP,DPP,1,1,4,1,0
桃園市,2018,DPP,DPP,1,0,5,1,0
桃園市,2019,DPP,DPP,1,0,6,1,0
桃園市,2020,DPP,DPP,1,0,7,1,0
桃園市,2021,DPP,DPP,1,0,8,1,0
桃園市,2022,KMT,DPP,0,1,1,0,1
桃園市,2023,KMT,DPP,0,1,2,0,1
桃園市,2024,KMT,DPP,0,1,3,0,1
澎湖縣,1990,KMT,KMT,1,0,1,0,1
澎湖縣,1991,KMT,KMT,1,0,2,0,1
澎湖縣,1992,KMT,KMT,1,0,3,0,1
澎湖縣,1993,DPP,KMT,0,1,1,1,0
澎湖縣,1994,DPP,KMT,0,1,2,1,0
澎湖縣,1995,DPP,KMT,0,1,3,1,0
澎湖縣,1996,DPP,KMT,0,1,4,1,0
澎湖縣,1997,KMT,KMT,1,1,1,0,1
澎湖縣,1998,KMT,KMT,1,1,2,0,1
澎湖縣,1999,KMT,KMT,1,1,3,0,1
澎湖縣,2000,KMT,DPP,0,1,4,0,1
澎湖縣,2001,KMT,DPP,0,0,5,0,1
澎湖縣,2002,KMT,DPP,0,0,6,0,1
澎湖縣,2003,KMT,DPP,0,0,7,0,1
澎湖縣,2004,KMT,DPP,0,0,8,0,1
澎湖縣,2005,KMT,DPP,0,0,9,0,1
澎湖縣,2006,KMT,DPP,0,0,10,0,1
澎湖縣,2007,KMT,DPP,0,0,11,0,1
澎湖縣,2008,KMT,KMT,1,0,12,0,1
澎湖縣,2009,KMT,KMT,1,0,13,0,1
澎湖縣,2010,KMT,KMT,1,0,14,0,1
澎湖縣,2011,KMT,KMT,1,0,15,0,1
澎湖縣,2012,KMT,KMT,1,0,16,0,1
澎湖縣,2013,KMT,KMT,1,0,17,0,1
澎湖縣,2014,DPP,KMT,0,1,1,1,0
澎湖縣,2015,DPP,KMT,0,1,2,1,0
澎湖縣,2016,DPP,DPP,1,1,3,1,0
澎湖縣,2017,DPP,DPP,1,1,4,1,0
澎湖縣,2018,KMT,DPP,0,1,1,0,1
澎湖縣,2019,KMT,DPP,0,1,2,0,1
澎湖縣,2020,KMT,DPP,0,1,3,0,1
澎湖縣,2021,KMT,DPP,0,1,4,0,1
澎湖縣,2022,DPP,DPP,1,1,1,1,0
澎湖縣,2023,DPP,DPP,1,1,2,1,0
澎湖縣,2024,DPP,DPP,1,1,3,1,0
臺中市,1990,KMT,KMT,1,0,1,0,1
臺中市,1991,KMT,KMT,1,0,2,0,1
臺中市,1992,KMT,KMT,1,0,3,0,1
臺中市,1993,KMT,KMT,1,0,4,0,1
臺中市,1994,KMT,KMT,1,0,5,0,1
臺中市,1995,KMT,KMT,1,0,6,0,1
臺中市,1996,KMT,KMT,1,0,7,0,1
臺中市,1997,DPP,KMT,0,1,1,1,0
臺中市,1998,DPP,KMT,0,1,2,1,0
臺中市,1999,DPP,KMT,0,1,3,1,0
臺中市,2000,DPP,DPP,1,1,4,1,0
臺中市,2001,KMT,DPP,0,1,1,0,1
臺中市,2002,KMT,DPP,0,1,2,0,1
臺中市,2003,KMT,DPP,0,1,3,0,1
臺中市,2004,KMT,DPP,0,1,4,0,1
臺中市,2005,KMT,DPP,0,0,5,0,1
臺中市,2006,KMT,DPP,0,0,6,0,1
臺中市,2007,KMT,DPP,0,0,7,0,1
臺中市,2008,KMT,KMT,1,0,8,0,1
臺中市,2009,KMT,KMT,1,0,9,0,1
臺中市,2010,KMT,KMT,1,0,10,0,1
臺中市,2011,KMT,KMT,1,0,11,0,1
臺中市,2012,KMT,KMT,1,0,12,0,1
臺中市,2013,KMT,KMT,1,0,13,0,1
臺中市,2014,DPP,KMT,0,1,1,1,0
臺中市,2015,DPP,KMT,0,1,2,1,0
臺中市,2016,DPP,DPP,1,1,3,1,0
臺中市,2017,DPP,DPP,1,1,4,1,0
臺中市,2018,KMT,DPP,0,1,1,0,1
臺中市,2019,KMT,DPP,0,1,2,0,1
臺中市,2020,KMT,DPP,0,1,3,0,1
臺中市,2021,KMT,DPP,0,1,4,0,1
臺中市,2022,KMT,DPP,0,0,5,0,1
臺中市,2023,KMT,DPP,0,0,6,0,1
臺中市,2024,KMT,DPP,0,0,7,0,1
臺北市,1994,DPP,KMT,0,0,1,1,0
臺北市,1995,DPP,KMT,0,0,2,1,0
臺北市,1996,DPP,KMT,0,0,3,1,0
臺北市,1997,DPP,KMT,0,0,4,1,0
臺北市,1998,KMT,KMT,1,1,1,0,1
臺北市,1999,KMT,KMT,1,1,2,0,1
臺北市,2000,KMT,DPP,0,1,3,0,1
臺北市,2001,KMT,DPP,0,1,4,0,1
臺北市,2002,KMT,DPP,0,0,5,0,1
臺北市,2003,KMT,DPP,0,0,6,0,1
臺北市,2004,KMT,DPP,0,0,7,0,1
臺北市,2005,KMT,DPP,0,0,8,0,1
臺北市,2006,KMT,DPP,0,0,9,0,1
臺北市,2007,KMT,DPP,0,0,10,0,1
臺北市,2008,KMT,KMT,1,0,11,0,1
臺北市,2009,KMT,KMT,1,0,12,0,1
臺北市,2010,KMT,KMT,1,0,13,0,1
臺北市,2011,KMT,KMT,1,0,14,0,1
臺北市,2012,KMT,KMT,1,0,15,0,1
臺北市,2013,KMT,KMT,1,0,16,0,1
臺北市,2014,IND,KMT,0,1,1,0,0
臺北市,2015,IND,KMT,0,1,2,0,0
臺北市,2016,IND,DPP,0,1,3,0,0
臺北市,2017,IND,DPP,0,1,4,0,0
臺北市,2018,IND,DPP,0,0,5,0,0
臺北市,2019,IND,DPP,0,0,6,0,0
臺北市,2020,IND,DPP,0,0,7,0,0
臺北市,2021,IND,DPP,0,0,8,0,0
臺北市,2022,KMT,DPP,0,1,1,0,1
臺北市,2023,KMT,DPP,0,1,2,0,1
臺北市,2024,KMT,DPP,0,1,3,0,1
臺南市,1990,KMT,KMT,1,0,1,0,1
臺南市,1991,KMT,KMT,1,0,2,0,1
臺南市,1992,KMT,KMT,1,0,3,0,1
臺南市,1993,KMT,KMT,1,0,4,0,1
臺南市,1994,KMT,KMT,1,0,5,0,1
臺南市,1995,KMT,KMT,1,0,6,0,1
臺南市,1996,KMT,KMT,1,0,7,0,1
臺南市,1997,DPP,KMT,0,1,1,1,0
臺南市,1998,DPP,KMT,0,1,2,1,0
臺南市,1999,DPP,KMT,0,1,3,1,0
臺南市,2000,DPP,DPP,1,1,4,1,0
臺南市,2001,DPP,DPP,1,0,5,1,0
臺南市,2002,DPP,DPP,1,0,6,1,0
臺南市,2003,DPP,DPP,1,0,7,1,0
臺南市,2004,DPP,DPP,1,0,8,1,0
臺南市,2005,DPP,DPP,1,0,9,1,0
臺南市,2006,DPP,DPP,1,0,10,1,0
臺南市,2007,DPP,DPP,1,0,11,1,0
臺南市,2008,DPP,KMT,0,0,12,1,0
臺南市,2009,DPP,KMT,0,0,13,1,0
臺南市,2010,DPP,KMT,0,0,14,1,0
臺南市,2011,DPP,KMT,0,0,15,1,0
臺南市,2012,DPP,KMT,0,0,16,1,0
臺南市,2013,DPP,KMT,0,0,17,1,0
臺南市,2014,DPP,KMT,0,0,18,1,0
臺南市,2015,DPP,KMT,0,0,19,1,0
臺南市,2016,DPP,DPP,1,0,20,1,0
臺南市,2017,DPP,DPP,1,0,21,1,0
臺南市,2018,DPP,DPP,1,0,22,1,0
臺南市,2019,DPP,DPP,1,0,23,1,0
臺南市,2020,DPP,DPP,1,0,24,1,0
臺南市,2021,DPP,DPP,1,0,25,1,0
