相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
-1,-1.1006107774950622,28,宜蘭縣,2019,DPP,KMT,-1.11617295600972
-1,-1.1006107774950622,28,彰化縣,2002,KMT,DPP,-4.39418661227684
-1,-1.1006107774950622,28,彰化縣,2006,DPP,KMT,-5.200037503692911
-1,-1.1006107774950622,28,彰化縣,2015,KMT,DPP,-2.340583958105924
-1,-1.1006107774950622,28,彰化縣,2019,DPP,KMT,1.4757185979458853
-1,-1.1006107774950622,28,新北市,2006,DPP,KMT,1.3721243499766445
-1,-1.1006107774950622,28,新竹市,2002,DPP,KMT,2.8167475230315375
-1,-1.1006107774950622,28,新竹市,2015,KMT,DPP,0.18203842771260526
-1,-1.1006107774950622,28,桃園市,2002,DPP,KMT,-3.9216435061842247
-1,-1.1006107774950622,28,桃園市,2015,KMT,DPP,4.243574197778877
-1,-1.1006107774950622,28,桃園市,2023,DPP,KMT,-1.2721922593858181
-1,-1.1006107774950622,28,澎湖縣,2006,KMT,DPP,-14.060768138055124
-1,-1.1006107774950622,28,澎湖縣,2019,DPP,KMT,7.327588944726315
-1,-1.1006107774950622,28,澎湖縣,2023,KMT,DPP,10.903011932308715
-1,-1.1006107774950622,28,臺中市,2002,DPP,KMT,3.8922175992365027
-1,-1.1006107774950622,28,臺中市,2015,KMT,DPP,1.287683356638425
-1,-1.1006107774950622,28,臺中市,2019,DPP,KMT,1.3925156917265369
-1,-1.1006107774950622,28,雲林縣,2006,KMT,DPP,-8.527929081774843
-1,-1.1006107774950622,28,雲林縣,2019,DPP,KMT,-4.166422526533076
-1,-1.1006107774950622,28,高雄市,2019,DPP,KMT,0.0865178818539647
-1,-1.1006107774950622,28,高雄市,2021,KMT,DPP,-1.5739994756884812
0,1.4629273438508632,28,嘉義市,2015,KMT,DPP,-5.1648494480502904
0,1.4629273438508632,28,嘉義市,2019,DPP,KMT,2.978995541981533
