年度,平均每戶可支配所得,臺灣地區平均每戶可支配所得,縣市,所得對數,全國所得對數,所得對數成長率,全國所得對數成長率,所得相對成長率百分點,失業率,企業家數,企業銷售額百萬元,企業家數對數成長率,企業銷售額對數成長率,中央執政黨代碼,中央執政黨,地方首長黨籍代碼,地方首長黨籍,中央地方同黨,地方是否主要政黨,地方國民黨執政,地方民進黨執政,六都,特殊產業結構縣市,離島縣市,任期年序,地方政黨輪替,失業率變動
2011,833967,907988,苗栗縣,13.633949112212713,13.71898644163707,0.05546807087512029,0.02073693058900794,3.473114028611235,4.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,13,0,-0.8999999999999995
2012,826530,923584,苗栗縣,13.624991493225126,13.73601703279575,-0.008957618987587068,0.01703059115868122,-2.5988210146268287,4.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,14,0,-0.10000000000000053
2013,839394,942208,苗栗縣,13.64043548189325,13.755981335978323,0.015443988668124575,0.01996430318257225,-0.45203145144476764,4.2,26051.0,712416.0,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,15,0,-0.09999999999999964
2014,913472,956849,苗栗縣,13.72500800298944,13.771400873241777,0.08457252109618985,0.015419537263454686,6.915298383273516,4.1,26299.0,755439.0,0.009474760468627608,0.05863702676623994,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,16,0,-0.10000000000000053
2015,827540,964895,苗栗縣,13.626212723433675,13.779774566110916,-0.09879527955576606,0.008373692869138694,-10.716897242490475,3.8,27106.0,736973.0,0.030224189946679303,-0.024747780710599798,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,17,0,-0.2999999999999998
2016,962522,993115,苗栗縣,13.777312202025714,13.808601746996494,0.1510994785920392,0.02882718088557823,12.227229770646098,3.9,27288.0,725738.0,0.006691939522520229,-0.015362188362791684,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,18,0,0.10000000000000009
2017,853451,1018941,苗栗縣,13.657043408906597,13.834274410626733,-0.12026879311911642,0.0256726636302389,-14.594145674935532,3.6,27634.0,756750.0,0.01259985351813242,0.04184387975314685,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,19,0,-0.2999999999999998
2018,870498,1036304,苗栗縣,13.676820740657586,13.851171095050994,0.019777331750988836,0.0168966844242604,0.2880647326728436,3.7,28199.0,739678.0,0.02023961768792759,-0.022817991537513294,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,20,0,0.10000000000000009
2019,900087,1059731,苗栗縣,13.710246704301193,13.873525660297378,0.03342596364360695,0.022354565246384794,1.1071398397222154,3.7,28767.0,781150.0,0.019942380517250058,0.054552236493597306,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,21,0,0.0
2020,970239,1079648,苗栗縣,13.78529771188268,13.892145620049078,0.07505100758148764,0.01861995975169961,5.643104782978803,3.7,29422.0,765138.0,0.022513796988365087,-0.02071098314322306,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,22,0,0.0
2021,1007110,1090554,苗栗縣,13.822595401087485,13.902196381967281,0.03729768920480403,0.010050761918202866,2.7246927286601164,3.9,30496.0,875029.0,0.03585283364377112,0.13420081895085545,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,23,0,0.19999999999999973
2022,1061582,1108569,苗栗縣,13.875270806317578,13.918580552380039,0.05267540523009373,0.01638417041275808,3.629123481733565,3.6,31062.0,862045.0,0.018389679676028337,-0.014949555188108477,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,24,0,-0.2999999999999998
2023,1115312,1136708,苗栗縣,13.924644744361668,13.943646923566812,0.04937393804408963,0.025066371186772685,2.4307566857316942,3.5,31578.0,888319.0,0.016475468451877973,0.0300234392398,DPP,民主進步黨,IND,無黨籍,0,0,0,0,0,0,0,1,1,-0.10000000000000009
2024,1163673,1165206,苗栗縣,13.967091939970853,13.968408453384745,0.04244719560918497,0.024761529817933337,1.7685665791251637,3.3,32440.0,988570.0,0.02693155364751476,0.10692854175141697,DPP,民主進步黨,IND,無黨籍,0,0,0,0,0,0,0,2,0,-0.20000000000000018
1998,661698,873175,雲林縣,13.402564537477826,13.67989127292283,,,,2.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,
1999,742533,889053,雲林縣,13.517822593115811,13.697912130266793,0.11525805563798563,0.01802085734396286,9.723719829402278,2.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,-0.09999999999999964
2000,694363,891445,雲林縣,13.450750157498527,13.700599020607656,-0.06707243561728404,0.002686890340863002,-6.9759325958147045,2.6,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.3999999999999999
2001,732284,868651,雲林縣,13.503923695841467,13.674696712533033,0.05317353834293925,-0.025902308074623903,7.907584641756316,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,1.4999999999999996
2002,688011,875919,雲林縣,13.44156010515976,13.683028899889882,-0.062363590681705716,0.008332187356849374,-7.069577803855509,4.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,0.6000000000000005
2003,673606,881662,雲林縣,13.420400649234004,13.689564041586747,-0.02115945592575663,0.00653514169686531,-2.769459762262194,5.0,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,0.2999999999999998
2004,703806,891249,雲林縣,13.464258028982472,13.700379128690377,0.04385737974846826,0.010815087103630106,3.3042292644838156,4.6,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.40000000000000036
2005,648685,894574,雲林縣,13.382702515764386,13.70410290629004,-0.08155551321808652,0.003723777599661915,-8.527929081774843,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,7,0,-0.39999999999999947
2006,764109,913092,雲林縣,13.546465728129307,13.72459192120366,0.16376321236492153,0.020489014913620096,14.327419745130143,3.9,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,0,1,1,-0.30000000000000027
2007,663716,923874,雲林縣,13.405609626120825,13.736330977689091,-0.14085610200848286,0.011739056485431831,-15.25951584939147,3.9,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,0,2,0,0.0
2008,643980,913687,雲林縣,13.375422948703624,13.72524334102077,-0.03018667741720016,-0.011087636668321466,-1.9099040748878693,4.0,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,3,0,0.10000000000000009
2009,615006,887605,雲林縣,13.329387302838626,13.696282103192804,-0.04603564586499864,-0.028961237827966002,-1.707440803703264,5.8,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,4,0,1.7999999999999998
2010,616480,889353,雲林縣,13.331781159859984,13.698249511048061,0.0023938570213584143,0.001967407855257619,0.04264491661007952,5.1,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,5,0,-0.7000000000000002
2011,674055,907988,雲林縣,13.421066988939039,13.71898644163707,0.08928582907905458,0.02073693058900794,6.854889849004664,4.3,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,6,0,-0.7999999999999998
2012,684977,923584,雲林縣,13.43714054003832,13.73601703279575,0.016073551099280436,0.01703059115868122,-0.09570400594007822,4.2,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,7,0,-0.09999999999999964
2013,704313,942208,雲林縣,13.464978138606602,13.755981335978323,0.02783759856828283,0.01996430318257225,0.7873295385710577,4.2,29568.0,1551639.0,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,8,0,0.0
2014,730035,956849,雲林縣,13.500847757180718,13.771400873241777,0.0358696185741163,0.015419537263454686,2.0450081310661616,3.9,29810.0,1547067.0,0.008151212230705696,-0.0029509113273107346,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,9,0,-0.30000000000000027
2015,732732,964895,雲林縣,13.504535293276533,13.779774566110916,0.003687536095814181,0.008373692869138694,-0.46861567733245124,3.8,30664.0,1209412.0,0.0282454203882736,-0.2462265892013793,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,0,10,0,-0.10000000000000009
2016,753126,993115,雲林縣,13.531987823461105,13.808601746996494,0.027452530184572055,0.02882718088557823,-0.13746507010061748,3.8,31039.0,1114626.0,0.012155150222957545,-0.0816153684480323,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,0,11,0,0.0
2017,745074,1018941,雲林縣,13.521238821287973,13.834274410626733,-0.010749002173131572,0.0256726636302389,-3.6421665803370473,3.7,31790.0,1232466.0,0.02390729662150015,0.10049811771207828,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,0,12,0,-0.09999999999999964
2018,726847,1036304,雲林縣,13.496471280446903,13.851171095050994,-0.024767540841070357,0.0168966844242604,-4.166422526533076,3.6,32733.0,1442306.0,0.029231968418359955,0.1572261812735558,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,0,13,0,-0.10000000000000009
2019,797654,1059731,雲林縣,13.589430198447342,13.873525660297378,0.09295891800043954,0.022354565246384794,7.060435275405474,3.6,33514.0,1271550.0,0.02357951863746166,-0.1260065928804739,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,1,1,0.0
2020,830718,1079648,雲林縣,13.630045666064778,13.892145620049078,0.040615467617435286,0.01861995975169961,2.1995507865735675,3.8,34250.0,1014963.0,0.021723302729702354,-0.22538447011304008,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.19999999999999973
2021,873727,1090554,雲林縣,13.680523248864665,13.902196381967281,0.050477582799887344,0.010050761918202866,4.042682088168448,3.8,35307.0,1383666.0,0.030394679855399787,0.3098843399637179,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,0.0
2022,869524,1108569,雲林縣,13.6757012144657,13.918580552380039,-0.004822034398964448,0.01638417041275808,-2.120620481172253,3.6,36354.0,1646656.0,0.02922299462727196,0.17401006618688264,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,-0.19999999999999973
2023,920910,1136708,雲林縣,13.733117590592839,13.943646923566812,0.057416376127138236,0.025066371186772685,3.235000494036555,3.5,37120.0,1478760.0,0.020851668727093653,-0.1075426660220522,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,-0.10000000000000009
2024,939002,1165206,雲林縣,13.752572888113585,13.968408453384745,0.019455297520746484,0.024761529817933337,-0.5306232297186853,3.4,38176.0,1438410.0,0.028051137997504583,-0.027665561875766187,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.10000000000000009
1998,831902,873175,高雄市,13.631469924404202,13.67989127292283,,,,3.4,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,
1999,846303,889053,高雄市,13.64863273049417,13.697912130266793,0.01716280608996712,0.01802085734396286,-0.08580512539957397,3.8,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,0.3999999999999999
2000,835452,891445,高雄市,13.635728174738869,13.700599020607656,-0.012904555755300251,0.002686890340863002,-1.5591446096163253,3.8,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,0.0
2001,820781,868651,高雄市,13.618011604982572,13.674696712533033,-0.017716569756297318,-0.025902308074623903,0.8185738318326585,5.0,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,1.2000000000000002
2002,801248,875919,高雄市,13.593925791114058,13.683028899889882,-0.024085813868513384,0.008332187356849374,-3.241800122536276,5.5,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,4,0,0.5
2003,802658,881662,高雄市,13.595683999342254,13.689564041586747,0.0017582082281961675,0.00653514169686531,-0.4776933468669142,5.2,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,5,0,-0.2999999999999998
2004,841900,891249,高雄市,13.643416521325756,13.700379128690377,0.04773252198350164,0.010815087103630106,3.6917434879871536,4.6,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,6,0,-0.6000000000000005
2005,863104,894574,高雄市,13.6682904726542,13.70410290629004,0.024873951328443056,0.003723777599661915,2.115017372878114,4.2,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,7,0,-0.39999999999999947
2006,848785,913092,高雄市,13.65156119411822,13.72459192120366,-0.01672927853597983,0.020489014913620096,-3.7218293449599926,4.2,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,8,0,0.0
2007,900028,923874,高雄市,13.710181152933618,13.736330977689091,0.05861995881539883,0.011739056485431831,4.6880902329967,4.2,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,9,0,0.0
2008,884720,913687,高雄市,13.693026489749242,13.72524334102077,-0.017154663184376417,-0.011087636668321466,-0.6067026516054952,4.3,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,10,0,0.09999999999999964
2009,869558,887605,高雄市,13.67574031555467,13.696282103192804,-0.017286174194572013,-0.028961237827966002,1.167506363339399,5.9,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,11,0,1.6000000000000005
2010,873346,889353,高雄市,13.680087090780784,13.698249511048061,0.004346775226114374,0.001967407855257619,0.23793673708567553,5.3,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,12,0,-0.6000000000000005
2011,856346,907988,高雄市,13.660429779062277,13.71898644163707,-0.019657311718507486,0.02073693058900794,-4.039424230751543,4.4,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,13,0,-0.8999999999999995
2012,894107,923584,高雄市,13.703580733794652,13.73601703279575,0.043150954732375624,0.01703059115868122,2.6120363573694405,4.3,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,14,0,-0.10000000000000053
2013,915255,942208,高雄市,13.726957993955816,13.755981335978323,0.023377260161163704,0.01996430318257225,0.34129569785914526,4.2,158321.0,4183572.0,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,15,0,-0.09999999999999964
2014,917659,956849,高雄市,13.729581140899397,13.771400873241777,0.0026231469435806787,0.015419537263454686,-1.2796390319874007,3.9,159938.0,4339513.0,0.010161622540564963,0.03659670275939142,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,16,0,-0.30000000000000027
2015,946918,964895,高雄市,13.760967779190008,13.779774566110916,0.031386638290610946,0.008373692869138694,2.3012945421472253,3.8,162735.0,4056285.0,0.017336870806222038,-0.06749459974199823,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,17,0,-0.10000000000000009
2016,964009,993115,高雄市,13.778855909648687,13.808601746996494,0.01788813045867954,0.02882718088557823,-1.0939050426898689,4.0,164673.0,4215228.0,0.011838578376124786,0.03843615242504761,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,18,0,0.20000000000000018
2017,985517,1018941,高雄市,13.800921655552969,13.834274410626733,0.022065745904281897,0.0256726636302389,-0.3606917725957004,3.8,167592.0,4512815.0,0.01757076489319509,0.0682174447992896,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,19,0,-0.20000000000000018
2018,1003178,1036304,高雄市,13.818683518795769,13.851171095050994,0.017761863242800047,0.0168966844242604,0.0865178818539647,3.7,171120.0,4758234.0,0.020832610562306897,0.052955463682472725,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,20,0,-0.09999999999999964
2019,1014869,1059731,高雄市,13.830270098089136,13.873525660297378,0.011586579293366484,0.022354565246384794,-1.076798595301831,3.7,174161.0,4675720.0,0.017615093982234598,-0.017493429421914897,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,1,1,0.0
2020,1017796,1079648,高雄市,13.83315006308395,13.892145620049078,0.0028799649948147987,0.01861995975169961,-1.5739994756884812,3.8,178358.0,4517846.0,0.023812607663503016,-0.03434782999124053,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,2,0,0.09999999999999964
2021,1022366,1090554,高雄市,13.837630106966373,13.902196381967281,0.00448004388242218,0.010050761918202866,-0.5570718035780686,3.9,185043.0,5556292.0,0.0367954640826369,0.206895647720458,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,1,1,0.10000000000000009
2022,1035378,1108569,高雄市,13.850277135397272,13.918580552380039,0.01264702843089971,0.01638417041275808,-0.3737141981858372,3.6,189659.0,5864959.0,0.024639492346095082,0.054064512152043775,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,-0.2999999999999998
2023,1091036,1136708,高雄市,13.902638261521039,13.943646923566812,0.052361126123766866,0.025066371186772685,2.729475493699418,3.4,194981.0,5560232.0,0.027674395070505398,-0.05335565744800341,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,-0.20000000000000018
2024,1143840,1165206,高雄市,13.94990158100068,13.968408453384745,0.04726331947964013,0.024761529817933337,2.2501789661706795,3.3,200288.0,6048265.0,0.02685421282316547,0.08413162004423391,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,4,0,-0.10000000000000009
